CUSTOMER_ID,cluster
204420,4
198987,4
142217,4
184229,4
181730,4
180586,4
152800,4
168552,4
190707,4
172723,4
170814,4
184617,4
198175,4
198995,4
162399,4
148544,4
149040,4
166280,4
193055,4
148771,4
189423,4
182066,4
136560,4
154710,4
185751,4
175155,4
151825,4
189870,4
180077,7
181727,4
193331,4
194989,4
175123,4
180260,4
197694,4
204663,4
194164,4
183333,4
200314,4
170988,4
194739,4
195698,4
193809,4
17627,4
178179,4
173717,4
142678,4
162400,4
186661,4
197954,7
145323,4
158271,4
1897419,4
164150,4
172473,4
195234,4
203505,4
167712,4
156392,4
156576,4
49261,4
153455,4
172518,4
203420,7
167501,4
204395,4
169760,7
173347,4
189072,4
138777,4
177949,4
202155,4
174927,4
140693,4
154660,4
147354,4
162350,4
170473,4
177119,4
178101,4
193384,4
152452,4
168874,4
200967,4
201506,4
187149,4
155718,4
146713,4
197932,4
169319,4
200716,4
164692,4
142571,4
156599,4
150324,4
160994,4
155927,4
173993,4
166292,4
158641,4
405221,4
204468,4
141033,4
176282,4
178713,4
184609,4
137937,4
205697,8
140220,4
193769,4
196390,4
178876,4
205728,4
195145,4
200208,4
188262,4
190564,4
171208,4
175821,4
165794,4
1196049,4
138202,4
199927,4
139192,4
146081,7
202191,4
136910,4
184785,4
196430,4
174201,7
1490277,4
202195,4
201161,4
195198,4
176549,4
140299,4
180076,4
199744,4
200675,4
149175,4
182052,4
187206,4
155939,4
175561,4
167418,4
175475,4
201875,4
184989,4
185732,4
195662,4
202812,4
182884,4
180361,4
151903,4
144235,4
204879,4
185544,4
150652,4
173326,4
172268,4
455387,4
165335,4
156581,4
190286,4
149900,4
170076,4
164941,4
200336,4
139189,4
152364,4
177006,4
200962,4
160064,4
153476,4
206006,4
175463,4
150414,4
199040,4
144333,4
202200,4
149167,4
200686,4
146082,4
181544,4
154664,4
141527,4
1282222,7
159077,4
158987,4
145783,4
205629,4
192376,4
149777,4
168858,4
184994,4
194994,4
152535,4
192883,4
136958,4
144278,4
201191,4
175834,4
175781,4
1897125,8
184262,4
181965,4
156589,4
186082,4
161508,4
150854,4
138921,4
198726,4
177287,4
138810,4
193861,4
139169,4
183295,4
177272,4
181560,4
165473,4
198203,4
1898386,4
195108,4
164203,4
169631,4
203844,4
137410,4
183115,4
146877,4
190193,4
163536,4
175779,4
153819,4
175157,4
145041,4
156887,4
161256,4
145175,4
138727,4
181850,4
195470,4
182909,4
166305,4
137021,4
196228,4
167443,4
161624,8
203471,4
147467,4
1204269,4
155170,4
157359,4
170243,4
202302,4
163575,4
173734,4
1896745,4
161509,4
138732,4
193609,4
166377,4
203061,4
178184,4
182704,4
136565,4
140992,4
173371,4
186890,4
144505,4
201296,7
156889,4
141160,4
145940,4
146766,4
202163,4
205716,4
188738,4
160489,4
147685,4
137513,4
138582,4
169388,4
150188,4
184050,4
197178,4
173835,4
170073,4
195010,4
173523,4
177239,7
162842,4
164468,4
171081,4
205187,4
175366,4
173757,4
144727,4
186675,4
204760,4
186638,4
200846,4
191229,4
204950,4
202171,4
192797,4
143633,4
165686,4
156987,4
188084,4
167059,4
155892,4
196333,4
139887,4
142654,4
184636,4
148967,4
198521,4
165384,8
204075,7
202676,4
197049,4
202419,7
191312,8
1896723,8
200544,4
179950,4
1902131,4
189450,4
185168,4
166761,8
169359,8
138030,4
172097,4
487764,4
180598,4
153140,4
171752,7
173896,4
138331,4
144765,4
195806,4
192940,4
147349,4
139149,4
183303,4
138567,4
204959,4
168889,4
146448,4
193872,4
169847,4
165180,7
172390,4
197606,4
153801,4
145105,4
189201,8
166004,4
152799,4
174767,4
176098,4
177440,4
171776,4
146742,8
169216,4
143562,4
151436,7
142408,4
163004,4
138653,4
162436,4
1903033,4
170152,4
185029,4
196099,4
143680,4
201962,4
144738,4
205439,4
204102,4
174048,4
174669,4
171757,4
168417,4
190862,4
195842,4
192445,4
157867,4
156577,4
163990,4
199949,4
173718,4
200217,4
185450,4
166695,4
175972,4
186452,4
173525,4
146147,4
205618,4
199014,4
152554,4
204564,4
163760,4
161635,4
179941,7
201520,4
195848,4
179871,4
189610,4
153813,4
173198,4
776500,4
177436,4
176916,4
199364,4
152126,4
177464,4
159306,4
315200,4
162049,4
174967,4
165296,4
172276,4
204251,4
177450,6
171206,4
176048,4
142894,4
197379,4
138791,4
200931,4
188119,4
526712,8
152226,4
161030,4
371864,4
201075,4
205742,4
183366,4
811376,4
145049,4
491181,4
164163,4
192892,4
181846,4
175354,4
174780,4
142887,4
182930,7
153550,4
169955,4
201137,4
138632,4
175503,4
167989,4
157915,4
196384,4
